Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Engagement_Score,Average_Marks,Risk_Level
23,84,1,0,0,7,73,1,1,0,1,2,1,2,3,0,1,2,1,67,53.5,70.0,Low Risk
19,64,1,2,0,8,59,1,1,2,2,2,1,0,4,0,0,1,0,61,41.5,60.0,Low Risk
24,98,2,2,1,7,91,2,1,2,2,2,1,1,4,0,2,2,1,74,61.0,82.5,Low Risk
29,89,1,2,1,8,98,2,1,1,2,2,1,0,4,0,1,1,1,71,59.0,84.5,Low Risk
19,92,2,2,1,6,65,2,1,3,2,0,1,1,4,0,0,2,0,70,55.5,67.5,Low Risk
19,88,2,2,1,8,89,2,1,3,2,2,1,2,3,0,2,2,1,71,53.5,80.0,Low Risk
29,84,2,1,1,7,68,1,1,1,1,2,0,1,2,0,1,1,1,67,56.5,67.5,Low Risk
25,78,1,0,1,6,50,2,1,1,0,0,1,0,2,0,1,0,1,66,51.5,58.0,Low Risk
17,94,2,0,0,6,80,0,1,0,2,1,0,1,1,0,0,2,1,69,55.5,74.5,Low Risk
23,98,2,2,1,8,71,2,1,0,0,0,1,2,5,0,1,1,1,72,60.5,71.5,Low Risk
17,80,1,0,0,8,88,2,0,4,2,0,0,1,4,0,0,1,1,68,48.5,78.0,Low Risk
17,97,2,0,1,6,87,1,1,2,1,0,0,1,2,0,1,2,1,71,57.0,79.0,Low Risk
21,83,2,2,1,8,97,1,1,2,2,2,1,2,4,0,1,2,1,70,52.0,83.5,Low Risk
9,82,2,2,1,8,72,2,1,2,2,2,0,2,3,0,2,2,1,66,45.5,69.0,Low Risk
10,78,2,0,1,8,74,2,1,1,1,2,0,1,4,0,2,2,1,65,44.0,69.5,Low Risk
17,68,2,2,0,8,70,2,1,2,2,2,0,2,4,0,1,2,0,64,42.5,67.0,Low Risk
14,60,2,1,1,10,65,1,1,0,0,2,0,2,3,0,0,2,1,60,37.0,62.5,Low Risk
22,70,1,2,1,6,82,2,1,1,1,0,1,1,3,0,1,2,0,65,46.0,73.5,Low Risk
15,80,2,2,1,9,91,1,1,3,1,2,1,2,2,0,0,1,0,67,47.5,79.0,Low Risk
12,75,2,0,1,7,58,2,1,3,2,2,0,2,4,0,0,2,1,66,43.5,62.0,Low Risk
29,78,2,2,0,5,99,0,1,0,0,2,1,0,1,0,1,1,0,69,53.5,84.0,Low Risk
19,99,2,0,0,6,84,2,1,1,2,0,1,1,3,0,1,2,1,72,59.0,78.0,Low Risk
20,74,2,0,0,8,89,1,1,1,2,2,1,0,2,0,0,1,0,66,47.0,77.5,Low Risk
11,78,0,2,1,8,100,0,1,1,1,2,1,1,3,0,1,1,1,66,44.5,83.0,Low Risk
17,65,1,0,1,5,75,2,1,2,1,2,1,2,3,0,1,2,0,63,41.0,69.0,Low Risk
21,62,0,1,1,6,54,0,1,0,0,0,1,2,3,0,2,0,1,64,41.5,59.0,Low Risk
13,91,1,2,0,6,90,2,1,1,0,2,1,0,2,1,1,1,0,65,52.0,77.5,Low Risk
22,83,0,0,1,6,94,2,1,0,0,2,1,1,2,0,0,1,1,71,52.5,82.5,Low Risk
16,90,2,2,0,4,58,2,1,1,1,2,1,1,3,0,1,1,0,66,53.0,62.0,Low Risk
18,66,0,0,0,4,51,1,1,2,1,2,0,1,2,0,0,2,1,64,42.0,57.5,Low Risk
16,83,1,2,0,6,57,2,1,0,0,1,1,2,4,1,1,2,0,63,49.5,60.0,Low Risk
31,70,2,0,1,7,66,2,1,1,0,2,1,0,3,0,0,2,1,69,50.5,67.5,Low Risk
20,69,2,2,1,8,96,2,1,2,2,0,1,2,3,0,1,2,1,67,44.5,81.5,Low Risk
25,65,0,2,0,5,90,2,1,2,2,2,1,2,3,0,0,1,0,68,45.0,79.0,Low Risk
13,72,1,2,0,6,93,1,1,1,1,2,1,0,3,0,1,2,1,61,42.5,77.0,Low Risk
21,65,2,1,1,7,91,1,1,2,2,0,1,2,3,0,1,0,0,64,43.0,77.5,Low Risk
8,99,2,2,0,9,54,1,1,2,1,2,1,1,5,0,2,2,0,67,53.5,60.5,Low Risk
12,72,1,2,1,8,84,2,1,1,1,2,1,2,5,0,1,2,0,63,42.0,73.5,Low Risk
21,65,1,2,1,6,98,1,1,1,2,0,1,0,4,0,1,2,1,64,43.0,81.0,Low Risk
24,68,0,2,0,8,56,1,1,3,0,0,1,1,1,0,0,2,1,67,46.0,61.5,Low Risk
